in,13.9312 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
conclusive,0.217675 Text_1.txt 
consistently,0.217675 Text_1.txt 
console said,0.217675 Text_1.txt Text_2.txt Text_3.txt 
consoles notes,0.217675 Text_1.txt Text_2.txt Text_3.txt 
constant willingness,0.217675 Text_1.txt Text_2.txt 
constipation The,0.217675 Text_1.txt 
consumption of a,0.217675 Text_1.txt 
consumption of green,0.217675 Text_1.txt 
consumption of whole,0.217675 Text_1.txt 
contain indigestible,0.217675 Text_1.txt 
containing carotenoids,0.217675 Text_1.txt 
containing foods may,0.217675 Text_1.txt 
content The,0.217675 Text_1.txt Text_2.txt Text_3.txt 
contributed to,0.217675 Text_1.txt 
contributions When,0.217675 Text_1.txt 
control over,0.217675 Text_1.txt Text_2.txt Text_3.txt 
control studies cohort,0.217675 Text_1.txt 
cooking,0.217675 Text_1.txt 
cooking new recipes,0.217675 Text_1.txt 
corn and peas,0.217675 Text_1.txt 
corn during adolescence,0.217675 Text_1.txt 
coronary heart disease,0.43535 Text_1.txt 
could make,0.217675 Text_1.txt Text_2.txt Text_3.txt 
counselling,0.217675 Text_1.txt Text_2.txt Text_3.txt 
countries,0.217675 Text_1.txt Text_2.txt Text_3.txt 
course these cousins,0.217675 Text_1.txt Text_2.txt 
crack cocaine or,0.217675 Text_1.txt Text_2.txt Text_3.txt 
create our,0.217675 Text_1.txt Text_2.txt Text_5.txt 
created opportunities,0.217675 Text_1.txt Text_2.txt Text_3.txt 
creator,0.217675 Text_1.txt Text_2.txt Text_3.txt 
creator Epic Games,0.217675 Text_1.txt Text_2.txt Text_3.txt 
credit card,0.217675 Text_1.txt Text_2.txt Text_3.txt 
criticism,0.217675 Text_1.txt Text_2.txt Text_3.txt 
criticism following mass,0.217675 Text_1.txt Text_3.txt 
crop top and,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
cropped t shirt,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
cruciferous and,0.217675 Text_1.txt 
cut,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
cut down his,0.217675 Text_1.txt Text_2.txt Text_3.txt 
cut that looks,0.217675 Text_1.txt Text_5.txt 
cute with a,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
daily A higher,0.217675 Text_1.txt 
daily intake of,0.217675 Text_1.txt 
daily walks,0.217675 Text_1.txt Text_2.txt 
dairy products and,0.217675 Text_1.txt 
dark green,0.217675 Text_1.txt 
data from,0.217675 Text_1.txt 
date done as,0.217675 Text_1.txt 
day Blood pressure,0.217675 Text_1.txt 
day compared,0.217675 Text_1.txt 
day especially,0.217675 Text_1.txt 
day had roughly,0.217675 Text_1.txt 
day on,0.217675 Text_1.txt Text_2.txt Text_3.txt 
day those who,0.217675 Text_1.txt 
day were thirty,0.217675 Text_1.txt 
days of Atari,0.217675 Text_1.txt Text_2.txt Text_3.txt 
deadline,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
deal values,0.217675 Text_1.txt Text_2.txt Text_3.txt 
death by,0.217675 Text_1.txt Text_2.txt 
death from cardiovascular,0.217675 Text_1.txt 
decent,0.217675 Text_1.txt Text_2.txt Text_4.txt 
decide to adopt,0.217675 Text_1.txt Text_2.txt 
decrease,0.217675 Text_1.txt 
decreased,0.43535 Text_1.txt 
decreased their,0.217675 Text_1.txt 
decreases pressure,0.217675 Text_1.txt 
demonstrated a,0.217675 Text_1.txt 
deprivation,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
derby,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
design suggestions including,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
designated gaming disorder,0.217675 Text_1.txt Text_2.txt Text_3.txt 
designs for astronauts,0.217675 Text_5.txt 
desperate parents have,0.217675 Text_1.txt Text_2.txt Text_3.txt 
detail is,0.217675 Text_1.txt Text_4.txt 
detox their devices,0.217675 Text_1.txt Text_2.txt Text_3.txt 
detriment of other,0.217675 Text_1.txt Text_3.txt 
developed cancer as,0.217675 Text_1.txt 
developing cardiovascular disease,0.217675 Text_1.txt 
diabetes,1.30605 Text_1.txt 
diabetes Weight,0.217675 Text_1.txt 
diabetes While there,0.217675 Text_1.txt 
diabetes showed that,0.217675 Text_1.txt 
diaries of past,0.217675 Text_1.txt Text_3.txt Text_4.txt 
diastolic blood pressure,0.217675 Text_1.txt 
did not decrease,0.217675 Text_1.txt 
diet On,0.217675 Text_1.txt 
diet lowered,0.217675 Text_1.txt 
diet rich,0.653026 Text_1.txt 
diet that was,0.217675 Text_1.txt 
diet wont necessarily,0.217675 Text_1.txt 
difference,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
different nutrients,0.217675 Text_1.txt 
difficult,0.43535 Text_1.txt Text_2.txt Text_3.txt 
digested carbohydrates Make,0.217675 Text_1.txt 
digestive system,0.217675 Text_1.txt 
dinner,0.217675 Text_1.txt Text_2.txt Text_3.txt 
dinners,0.217675 Text_1.txt Text_2.txt Text_3.txt 
disappear If,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
disease Compared with,0.217675 Text_1.txt 
disease There,0.217675 Text_1.txt 
disease cancer,0.217675 Text_1.txt 
disease with,0.217675 Text_1.txt 
disorder,0.217675 Text_1.txt Text_2.txt Text_3.txt 
distracted,0.217675 Text_1.txt Text_3.txt 
diversity of beneficial,0.217675 Text_1.txt 
divorce service,0.217675 Text_1.txt Text_2.txt Text_3.txt 
doesnt,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
dog The,0.217675 Text_1.txt Text_2.txt 
dog owners are,0.217675 Text_1.txt Text_2.txt 
dog reduces a,0.217675 Text_1.txt Text_2.txt 
dog you have,0.217675 Text_1.txt Text_2.txt 
dogs Over,0.217675 Text_1.txt Text_2.txt 
dogs are also,0.217675 Text_1.txt Text_2.txt 
dogs as pets,0.217675 Text_1.txt Text_2.txt 
dogs keep,0.217675 Text_1.txt Text_2.txt 
dogs some,0.217675 Text_1.txt Text_2.txt 
dogs to assist,0.217675 Text_1.txt Text_2.txt 
dogs were tamed,0.217675 Text_1.txt Text_2.txt 
dollars Video,0.217675 Text_1.txt Text_3.txt 
domesticated but,0.217675 Text_1.txt Text_2.txt 
done as part,0.217675 Text_1.txt 
dont rely on,0.217675 Text_1.txt 
down towards,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
drifts before,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
dropped,0.217675 Text_1.txt Text_2.txt Text_3.txt 
due to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
during early adulthood,0.217675 Text_1.txt 
each additional,0.217675 Text_1.txt 
each of,0.217675 Text_1.txt 
early,0.653026 Text_1.txt 
earth,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
easier for parents,0.217675 Text_1.txt Text_3.txt 
easiest to catch,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
easily If fishing,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
eat,0.43535 Text_1.txt 
eat washed,0.217675 Text_1.txt 
eaten higher,0.217675 Text_1.txt 
eating fruits,0.217675 Text_1.txt 
eating sleep,0.217675 Text_1.txt Text_2.txt Text_3.txt 
echoed by an,0.217675 Text_1.txt Text_2.txt Text_3.txt 
effect Although,0.217675 Text_1.txt 
effect Individuals,0.217675 Text_1.txt 
effect on,0.217675 Text_1.txt 
effect upon,0.217675 Text_1.txt 
effort,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
eight or,0.217675 Text_1.txt 
eighty,0.43535 Text_1.txt 
eighty five thousand,0.217675 Text_1.txt 
either,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
electric then,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
electronics being used,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
elegance However,0.217675 Text_1.txt Text_2.txt 
eleven percent reduced,0.217675 Text_1.txt 
ended,0.217675 Text_1.txt Text_3.txt Text_4.txt 
enjoy,0.217675 Text_1.txt Text_2.txt 
enjoying,0.217675 Text_1.txt Text_2.txt 
enjoying better health,0.217675 Text_1.txt Text_2.txt 
enriched and basal,0.217675 Text_1.txt 
enrol more than,0.217675 Text_1.txt Text_2.txt Text_3.txt 
ensures a greater,0.217675 Text_1.txt 
entire bait,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
entire publication to,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
era ones are,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
esophagus and stomach,0.217675 Text_1.txt 
especially aggressive,0.217675 Text_1.txt 
especially berries may,0.217675 Text_1.txt 
especially cooked tomato,0.217675 Text_1.txt 
establish,0.217675 Text_1.txt Text_2.txt 
establish a causal,0.217675 Text_1.txt Text_2.txt 
estimated seventy eight,0.217675 Text_1.txt Text_2.txt 
estrogen receptor negative,0.217675 Text_1.txt 
even more,0.43535 Text_1.txt Text_2.txt 
even promote,0.217675 Text_1.txt 
ever,0.43535 Text_1.txt Text_2.txt Text_5.txt 
ever since at,0.217675 Text_1.txt Text_2.txt 
every two additional,0.217675 Text_1.txt 
everybody I kind,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
evidence that a,0.217675 Text_1.txt 
exacerbated by Fortnite,0.217675 Text_1.txt Text_3.txt 
exactly,0.217675 Text_1.txt Text_2.txt Text_3.txt 
examined,0.217675 Text_1.txt 
example A,0.217675 Text_1.txt 
excellent,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
excessively Treatment involves,0.217675 Text_1.txt Text_3.txt 
exercise they,0.217675 Text_1.txt Text_2.txt 
exist each,0.217675 Text_1.txt 
existing,0.217675 Text_1.txt Text_2.txt 
existing literature show,0.217675 Text_1.txt Text_2.txt 
exotic weapons and,0.217675 Text_1.txt Text_2.txt Text_3.txt 
explain,0.217675 Text_1.txt Text_2.txt 
explore the,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
extreme violence and,0.217675 Text_1.txt Text_2.txt Text_3.txt 
extremes and,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
eye Attention to,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
eye appealing,0.217675 Text_1.txt 
eye on the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
faces,0.217675 Text_1.txt Text_2.txt 
faces In this,0.217675 Text_1.txt Text_2.txt 
facing stress,0.217675 Text_1.txt Text_2.txt 
factor,0.217675 Text_1.txt Text_2.txt 
factors,0.217675 Text_1.txt Text_2.txt 
factors related to,0.217675 Text_1.txt Text_2.txt 
fall off,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
falls asleep in,0.217675 Text_1.txt Text_2.txt Text_3.txt 
families,0.217675 Text_1.txt 
fans,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
fans had a,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
fashion,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
fat The,0.217675 Text_1.txt 
fat or,0.217675 Text_1.txt 
favourite bait,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
feed,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
female,0.217675 Text_1.txt 
few comments,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
few ideas,0.217675 Text_1.txt 
few short,0.217675 Text_1.txt Text_3.txt Text_4.txt 
few ways,0.217675 Text_1.txt Text_2.txt 
fewer hooks,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
fewer servings Vegetable,0.217675 Text_1.txt 
fewest daily servings,0.217675 Text_1.txt 
fibre intake had,0.43535 Text_1.txt 
fibre intakes from,0.217675 Text_1.txt 
fifteen billion,0.217675 Text_1.txt Text_2.txt Text_3.txt 
fifty minutes,0.217675 Text_1.txt Text_2.txt 
fifty one,0.217675 Text_1.txt 
fifty thousand,0.217675 Text_1.txt Text_2.txt Text_3.txt 
fighting,0.217675 Text_1.txt Text_2.txt Text_3.txt 
fights,0.217675 Text_1.txt Text_2.txt Text_3.txt 
find They,0.217675 Text_1.txt Text_2.txt Text_4.txt 
finding,0.653026 Text_1.txt Text_4.txt 
finding was,0.217675 Text_1.txt 
findings from the,0.217675 Text_1.txt 
first domesticated but,0.217675 Text_1.txt Text_2.txt 
fish More,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
fishing scene,0.217675 Text_1.txt Text_3.txt Text_4.txt 
five A meta,0.217675 Text_1.txt 
five percent,0.217675 Text_1.txt 
five thousand,0.217675 Text_1.txt 
five years,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
flex,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
follow,0.217675 Text_1.txt 
followed a,0.217675 Text_1.txt 
followed this,0.217675 Text_1.txt 
following four hundred,0.217675 Text_1.txt 
following one hundred,0.217675 Text_1.txt 
foods,0.43535 Text_1.txt 
footage,0.217675 Text_1.txt Text_4.txt 
for Heart,0.217675 Text_1.txt 
for a,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
for every,0.217675 Text_1.txt 
for good,0.217675 Text_1.txt Text_2.txt Text_4.txt 
for its,0.43535 Text_1.txt Text_2.txt Text_3.txt 
for kids An,0.217675 Text_1.txt Text_2.txt Text_3.txt 
for modern,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
for now we,0.217675 Text_1.txt Text_2.txt Text_4.txt 
for suits,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
for the break,0.217675 Text_1.txt Text_2.txt Text_3.txt 
for their cuteness,0.217675 Text_1.txt Text_2.txt 
for twenty,0.217675 Text_1.txt 
forget,0.217675 Text_1.txt Text_2.txt Text_4.txt 
forms,0.217675 Text_1.txt 
forty five women,0.217675 Text_1.txt 
forty thousand years,0.217675 Text_1.txt Text_2.txt 
found from drinking,0.217675 Text_1.txt 
found that,1.95908 Text_1.txt Text_2.txt 
found that higher,0.217675 Text_1.txt 
found that those,0.217675 Text_1.txt 
four but there,0.217675 Text_1.txt Text_5.txt 
four months,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
four premenopausal,0.217675 Text_1.txt 
four women,0.217675 Text_1.txt 
four year period,0.217675 Text_1.txt 
fourteen participants,0.217675 Text_1.txt Text_2.txt 
fourteen year period,0.217675 Text_1.txt 
free,0.870701 Text_1.txt Text_3.txt 
free to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
friend Why,0.217675 Text_1.txt Text_2.txt 
friendly pup,0.217675 Text_1.txt Text_2.txt 
friends have,0.217675 Text_1.txt Text_2.txt 
friendship and,0.217675 Text_1.txt Text_2.txt 
fries are just,0.217675 Text_1.txt 
from Glasgow Caledonian,0.217675 Text_1.txt Text_2.txt 
from an investor,0.217675 Text_1.txt Text_2.txt Text_3.txt 
from cohort,0.217675 Text_1.txt 
from drinking,0.217675 Text_1.txt 
from fruits and,0.217675 Text_1.txt 
from playing,0.217675 Text_1.txt Text_2.txt Text_3.txt 
from the Harvard,0.217675 Text_1.txt 
from the lunar,0.217675 Text_1.txt Text_2.txt Text_5.txt 
fruit and vegetable,0.653026 Text_1.txt 
fruit during,0.217675 Text_1.txt 
fruit fibre intake,0.217675 Text_1.txt 
fruit was,0.217675 Text_1.txt 
fruits Skip the,0.217675 Text_1.txt 
fruits and disease,0.217675 Text_1.txt 
fruits are,0.217675 Text_1.txt 
fruits each,0.217675 Text_1.txt 
fruits in,0.43535 Text_1.txt 
fruits probably,0.217675 Text_1.txt 
fruits such as,0.217675 Text_1.txt 
funky On,0.217675 Text_1.txt Text_3.txt Text_5.txt 
gambling to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
game addictions,0.217675 Text_1.txt Text_3.txt 
game is like,0.217675 Text_1.txt Text_3.txt 
game that,0.43535 Text_1.txt Text_2.txt Text_3.txt 
game without knowing,0.217675 Text_1.txt Text_2.txt Text_3.txt 
games are,0.217675 Text_1.txt Text_2.txt Text_3.txt 
games have,0.217675 Text_1.txt Text_2.txt Text_3.txt 
gaming consoles notes,0.217675 Text_1.txt Text_2.txt Text_3.txt 
gangs,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
gear If,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
general,0.217675 Text_1.txt 
generally provide more,0.217675 Text_1.txt 
get at,0.217675 Text_1.txt 
get more,0.217675 Text_1.txt Text_2.txt Text_3.txt 
get those,0.217675 Text_1.txt Text_3.txt 
get unhooked Epic,0.217675 Text_1.txt Text_2.txt Text_3.txt 
getting amounted to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
getting players to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
give,0.43535 Text_1.txt 
glass bowl in,0.217675 Text_1.txt 
go back through,0.217675 Text_1.txt Text_4.txt 
goal is being,0.217675 Text_1.txt Text_2.txt Text_3.txt 
good,0.653026 Text_1.txt Text_2.txt Text_4.txt 
got,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
grapefruit,0.217675 Text_1.txt 
grappling with a,0.217675 Text_1.txt Text_2.txt Text_3.txt 
greater diversity,0.217675 Text_1.txt 
greens were,0.217675 Text_1.txt 
ground when,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
groups,0.43535 Text_1.txt Text_3.txt 
habits,0.43535 Text_1.txt Text_3.txt 
had a,1.08838 Text_1.txt Text_3.txt Text_5.txt 
had an eleven,0.217675 Text_1.txt 
had roughly,0.217675 Text_1.txt 
had to,0.43535 Text_1.txt Text_2.txt Text_3.txt 
hands since,0.217675 Text_1.txt Text_2.txt Text_3.txt 
happening,0.217675 Text_1.txt Text_2.txt Text_3.txt 
hard,0.653026 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
hard to locate,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
has all,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
has at,0.217675 Text_1.txt Text_2.txt Text_3.txt 
has created,0.43535 Text_1.txt Text_2.txt Text_3.txt 
has such,0.217675 Text_1.txt Text_3.txt 
have a positive,0.217675 Text_1.txt 
have always,0.217675 Text_1.txt Text_2.txt 
have been exacerbated,0.217675 Text_1.txt Text_2.txt Text_3.txt 
have generated,0.217675 Text_1.txt Text_2.txt Text_3.txt 
have historically been,0.217675 Text_1.txt Text_2.txt 
have lost weight,0.217675 Text_1.txt 
have plummeted Wed,0.217675 Text_1.txt Text_2.txt Text_3.txt 
have soft,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
have to,0.217675 Text_1.txt Text_2.txt 
havent,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
having dogs,0.217675 Text_1.txt Text_2.txt 
he counselled,0.217675 Text_1.txt Text_2.txt Text_3.txt 
he had,0.43535 Text_1.txt Text_3.txt 
he plans to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
head wide,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
heading east southeast,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
health Fruits and,0.217675 Text_1.txt 
healthier,0.217675 Text_1.txt Text_2.txt 
healthy individuals,0.217675 Text_1.txt 
held company,0.217675 Text_1.txt Text_2.txt Text_3.txt 
help protect,0.217675 Text_1.txt 
heroin,0.217675 Text_1.txt Text_3.txt 
high,0.43535 Text_1.txt Text_3.txt 
higher intake of,0.43535 Text_1.txt 
highest and lowest,0.217675 Text_1.txt 
him,0.217675 Text_1.txt Text_2.txt Text_3.txt 
his Fortnite,0.217675 Text_1.txt Text_3.txt 
his old,0.217675 Text_1.txt Text_3.txt 
history humans,0.217675 Text_1.txt Text_2.txt 
hold much structure,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
hooked,0.43535 Text_1.txt Text_2.txt Text_3.txt 
hot,0.653026 Text_1.txt Text_4.txt Text_5.txt 
hours So where,0.217675 Text_1.txt Text_3.txt Text_4.txt 
hours and,0.217675 Text_1.txt Text_2.txt Text_3.txt 
hours of,0.217675 Text_1.txt Text_2.txt Text_3.txt 
houses our,0.217675 Text_1.txt Text_2.txt 
how our dogs,0.217675 Text_1.txt Text_2.txt 
how your,0.217675 Text_1.txt Text_2.txt 
hue,0.217675 Text_1.txt 
humans best,0.217675 Text_1.txt Text_2.txt 
hundred Fortnite,0.217675 Text_1.txt Text_3.txt 
hundred and four,0.217675 Text_1.txt 
hundred and thirty,0.217675 Text_1.txt 
hundred petitions,0.217675 Text_1.txt Text_2.txt Text_3.txt 
hunting or,0.217675 Text_1.txt Text_2.txt 
if a parent,0.217675 Text_1.txt Text_2.txt Text_3.txt 
if youre,0.217675 Text_1.txt Text_3.txt Text_4.txt 
important contributions When,0.217675 Text_1.txt 
in Cambridge MA,0.217675 Text_1.txt Text_2.txt 
in June a,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in Santa Barbara,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in The Journal,0.217675 Text_1.txt Text_2.txt 
in a post,0.217675 Text_1.txt Text_3.txt 
in bottom,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
in breast cancer,0.217675 Text_1.txt 
in check,0.217675 Text_1.txt 
in countries around,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in general,0.217675 Text_1.txt 
in its,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in my,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in person,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in some,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
in the United,0.653026 Text_1.txt Text_2.txt 
in their ability,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in women who,0.217675 Text_1.txt 
included,0.43535 Text_1.txt Text_3.txt 
including HER enriched,0.217675 Text_1.txt 
including one,0.217675 Text_1.txt Text_2.txt 
increase hunger At,0.217675 Text_1.txt 
increased risk,0.217675 Text_1.txt 
indicated that,0.217675 Text_1.txt 
individual,0.217675 Text_1.txt 
individuals for years,0.217675 Text_1.txt 
information,0.43535 Text_1.txt 
initially healthy individuals,0.217675 Text_1.txt 
insoluble finer also,0.217675 Text_1.txt 
intake Berries apples,0.217675 Text_1.txt 
intake had a,0.217675 Text_1.txt 
intake less than,0.217675 Text_1.txt 
intake was,0.217675 Text_1.txt 
intakes during,0.217675 Text_1.txt 
intakes from,0.217675 Text_1.txt 
intakes of fruits,0.217675 Text_1.txt 
intakes zero point,0.217675 Text_1.txt 
internet or,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
interview Ive,0.217675 Text_1.txt Text_2.txt Text_3.txt 
intestinal tract,0.217675 Text_1.txt 
into his,0.217675 Text_1.txt Text_2.txt Text_3.txt 
into search,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
into the diet,0.217675 Text_1.txt 
into this area,0.217675 Text_1.txt 
invest,0.217675 Text_1.txt Text_3.txt 
investor group,0.217675 Text_1.txt Text_2.txt Text_3.txt 
involves a,0.217675 Text_1.txt Text_2.txt Text_3.txt 
irritable bowel,0.217675 Text_1.txt 
is associated with,0.43535 Text_1.txt Text_2.txt 
is difficult to,0.217675 Text_1.txt Text_2.txt 
is free to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
is king,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
is needed,0.217675 Text_1.txt 
is now,0.217675 Text_1.txt Text_2.txt Text_3.txt 
is physical,0.217675 Text_1.txt Text_2.txt 
is standing,0.217675 Text_1.txt Text_2.txt Text_3.txt 
is the game,0.217675 Text_1.txt Text_2.txt Text_3.txt 
is to,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
is wearing,0.217675 Text_1.txt Text_4.txt Text_5.txt 
isnt an,0.217675 Text_1.txt 
isnt just causing,0.217675 Text_1.txt Text_3.txt 
isolated rocks,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
issue of,0.217675 Text_1.txt Text_2.txt Text_3.txt 
issued past,0.217675 Text_1.txt Text_3.txt 
it One of,0.217675 Text_1.txt 
it a,0.217675 Text_1.txt 
it and thought,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
it difficult,0.217675 Text_1.txt Text_2.txt Text_3.txt 
it easier,0.217675 Text_1.txt Text_2.txt Text_3.txt 
it looked,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
it passes,0.217675 Text_1.txt 
it short,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
its extreme,0.217675 Text_1.txt Text_2.txt Text_3.txt 
its happening against,0.217675 Text_1.txt Text_3.txt 
its hard to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
its worth,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
itself be sufficient,0.217675 Text_1.txt Text_2.txt 
jig,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
joystick addled,0.217675 Text_1.txt Text_3.txt 
juice was associated,0.217675 Text_1.txt 
juices may be,0.217675 Text_1.txt 
just an,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
just as likely,0.217675 Text_1.txt 
just hanging off,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
just seemed,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
just to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
kale,0.43535 Text_1.txt 
kale during,0.217675 Text_1.txt 
keen eye on,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
keep in,0.217675 Text_1.txt 
keep kids,0.217675 Text_1.txt Text_3.txt 
keep you in,0.217675 Text_1.txt Text_2.txt 
keeping us,0.217675 Text_1.txt Text_2.txt 
key to,0.217675 Text_1.txt 
kick back,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
kids An,0.217675 Text_1.txt Text_2.txt Text_3.txt 
kids minds,0.217675 Text_1.txt Text_2.txt Text_3.txt 
kids with addictions,0.217675 Text_1.txt Text_2.txt Text_3.txt 
king,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
known,0.217675 Text_1.txt 
large mouth,0.870701 Text_1.txt Text_4.txt 
last,1.08838 Text_1.txt Text_2.txt Text_3.txt 
last year,0.43535 Text_1.txt Text_2.txt 
late,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
leafy greens broccoli,0.217675 Text_1.txt 
leafy vegetables such,0.217675 Text_1.txt 
least in,0.217675 Text_1.txt Text_2.txt 
least one serving,0.217675 Text_1.txt 
leggings I wasnt,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
legumes beans,0.217675 Text_1.txt 
leisure purposes,0.217675 Text_1.txt Text_2.txt 
lemons limes and,0.217675 Text_1.txt 
less like,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
less likely to,0.217675 Text_1.txt 
less than three,0.217675 Text_1.txt 
lettuce and other,0.217675 Text_1.txt 
life When,0.217675 Text_1.txt 
lifestyle adjustments,0.217675 Text_1.txt Text_2.txt 
lifestyle factor,0.217675 Text_1.txt Text_2.txt 
like I,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
like a,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
